transport,server,mode,clients,baseline_rss_kib,steady_rss_kib,peak_rss_kib,incremental_bytes_per_connection,delivered,sent,replaced,duration_s
plain,rust,idle,100,5376,6400,6400,10485.8,0,0,0,10
plain,go,idle,100,15488,19584,19584,41943.0,0,0,0,10
plain,rust,idle,1000,5248,16256,16256,11272.2,0,0,0,10
plain,go,idle,1000,15616,52736,53120,38010.9,0,0,0,10
plain,rust,idle,5000,5504,60032,60032,11167.3,0,0,0,10
plain,go,idle,5000,15744,193408,195968,36385.6,0,0,0,10
plain,rust,idle,10000,5120,114048,114048,11154.2,0,0,0,10
plain,go,idle,10000,14592,367480,372216,36135.7,0,0,0,10
plain,rust,active,100,5120,7142,7808,20705.3,81586,81587,0,10
plain,go,active,100,15488,24264,24832,89866.2,81363,81409,0,10
plain,rust,active,1000,5248,18976,23552,14057.5,81303,81461,0,10
plain,go,active,1000,15488,64038,79616,49715.2,73521,73673,0,10
plain,rust,active,5000,5120,71641,73600,13623.5,95264,95276,0,10
plain,go,active,5000,14976,209011,318932,39738.4,88142,88965,0,10
plain,rust,slow,100,5248,7424,7424,22282.2,0,3200,0,10
plain,go,slow,100,15488,24064,24064,87818.2,0,3200,0,10
plain,rust,slow,1000,5248,29568,29568,24903.7,0,32000,0,10
plain,go,slow,1000,15616,78592,78592,64487.4,0,32000,0,10
plain,rust,slow,5000,5120,114560,114560,22413.3,0,160000,0,10
plain,go,slow,5000,14976,315468,315468,61540.8,0,160000,0,10
plain,rust,churn,1000,4992,16275,16768,11553.8,0,0,1800,10
plain,go,churn,1000,15232,56832,83200,42598.4,0,0,1800,10
plain,rust,churn,5000,5120,59705,60032,11179.0,0,0,6000,10
plain,go,churn,5000,15232,207763,297728,39430.3,0,0,5500,10
tls,rust,idle,100,5888,7808,7808,19660.8,0,0,0,10
tls,go,idle,100,15744,23424,23424,78643.2,0,0,0,10
tls,rust,idle,1000,6016,24576,24576,19005.4,0,0,0,10
tls,go,idle,1000,15744,81024,81664,66846.7,0,0,0,10
tls,rust,idle,5000,6272,97920,97920,18769.5,0,0,0,10
tls,go,idle,5000,15872,324207,324348,63147.0,0,0,0,10
tls,rust,idle,10000,5888,189312,189312,18782.6,0,0,0,15
tls,go,idle,10000,15744,609403,615208,60790.7,0,0,0,15
tls,rust,active,1000,6016,27462,31360,21960.7,95393,95409,0,10
tls,go,active,1000,16000,88147,105216,73878.5,87604,87605,0,10
tls,rust,active,5000,6016,109900,112000,21275.4,91998,92088,0,10
tls,go,active,5000,15872,332543,374096,64854.2,85149,85254,0,10
tls,rust,slow,1000,6144,38016,38016,32636.9,0,32000,0,10
tls,go,slow,1000,16128,104576,104576,90570.8,0,32000,0,10
tls,rust,slow,5000,6144,160564,160768,31625.2,0,160000,0,10
tls,go,slow,5000,15872,449712,455472,88850.4,0,160000,0,10
tls,rust,churn,1000,5888,24832,25216,19398.7,0,0,1500,10
tls,go,churn,1000,15744,85593,119552,71525.4,0,0,1300,10
tls,rust,churn,5000,6016,98310,102528,18901.8,0,0,3500,10
tls,go,churn,5000,15744,321986,400756,62718.4,0,0,2500,10
